                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 0.8717,                 0.8189,                 1.0722,                0.71711,                 0.4359,                0.49754,                0.36053,                 1.0171,                 1.1375,                 1.2045,              0.0012872,              0.0012872,              0.0012872
                     74,                0.88987,                0.84399,                 1.0869,                0.62773,                0.45464,                0.50187,                0.35513,                 1.0333,                 1.1123,                 1.2179,              0.0012773,              0.0012773,              0.0012773
                     75,                  0.872,                0.82707,                 1.0657,                0.68461,                0.45266,                0.51139,                0.36549,                 1.0325,                 1.1005,                 1.2241,              0.0012674,              0.0012674,              0.0012674
                     76,                0.86255,                0.80228,                 1.0667,                0.69045,                0.43688,                0.50584,                 0.3645,                 1.0184,                 1.1094,                 1.2019,              0.0012575,              0.0012575,              0.0012575
                     77,                0.87201,                0.80838,                  1.064,                0.70707,                 0.4428,                0.50964,                0.36402,                 1.0362,                 1.0895,                 1.2132,              0.0012476,              0.0012476,              0.0012476
                     78,                0.84996,                0.79009,                 1.0586,                0.65713,                0.45464,                0.50277,                0.36248,                 1.0386,                 1.1172,                 1.2155,              0.0012377,              0.0012377,              0.0012377
                     79,                0.85897,                0.79329,                 1.0617,                0.66784,                0.45168,                0.50827,                0.36844,                   1.03,                 1.0982,                 1.2097,              0.0012278,              0.0012278,              0.0012278
                     80,                0.83886,                0.78147,                 1.0561,                0.66397,                0.45168,                0.50541,                0.36179,                  1.029,                    1.1,                 1.2231,              0.0012179,              0.0012179,              0.0012179
                     81,                0.84891,                0.78248,                 1.0542,                0.66953,                0.45858,                0.50707,                0.36695,                  1.024,                 1.1047,                 1.2054,               0.001208,               0.001208,               0.001208
                     82,                0.84166,                0.75945,                  1.056,                0.70113,                0.43495,                0.50677,                0.36638,                 1.0052,                 1.0928,                 1.2027,              0.0011981,              0.0011981,              0.0011981
                     83,                0.85165,                0.77001,                 1.0546,                0.76071,                0.41124,                0.51031,                0.37077,                 1.0289,                 1.0852,                 1.2157,              0.0011882,              0.0011882,              0.0011882
                     84,                0.84277,                0.74757,                 1.0497,                0.67149,                0.45858,                0.51069,                0.36722,                 1.0161,                 1.1229,                 1.2031,              0.0011783,              0.0011783,              0.0011783
                     85,                0.83218,                0.74669,                 1.0448,                0.66651,                0.45136,                0.50134,                 0.3667,                 1.0239,                 1.1038,                 1.2146,              0.0011684,              0.0011684,              0.0011684
                     86,                0.83319,                0.74973,                 1.0443,                0.65682,                0.46844,                0.50569,                0.36564,                  1.016,                 1.0984,                 1.2073,              0.0011585,              0.0011585,              0.0011585
                     87,                0.85089,                0.76146,                  1.052,                0.64413,                0.45069,                0.49961,                0.35495,                 1.0339,                 1.1287,                 1.2269,              0.0011486,              0.0011486,              0.0011486
                     88,                 0.8292,                 0.7385,                 1.0396,                0.63243,                0.46351,                0.50613,                0.36672,                  1.019,                 1.0984,                 1.2075,              0.0011387,              0.0011387,              0.0011387
                     89,                  0.814,                0.73376,                 1.0383,                0.65116,                0.45469,                0.49093,                0.35601,                 1.0387,                 1.1139,                 1.2273,              0.0011288,              0.0011288,              0.0011288
                     90,                0.80503,                0.71972,                 1.0352,                 0.6368,                0.46686,                0.50644,                0.36433,                 1.0311,                 1.1142,                 1.2269,              0.0011189,              0.0011189,              0.0011189
                     91,                0.81354,                0.71761,                 1.0248,                0.63712,                0.46351,                0.50258,                0.36244,                 1.0167,                 1.1133,                 1.2221,               0.001109,               0.001109,               0.001109
                     92,                 0.8199,                0.72377,                 1.0378,                0.72002,                0.41519,                0.50159,                0.36183,                 1.0212,                 1.1108,                 1.2263,              0.0010991,              0.0010991,              0.0010991
                     93,                0.81429,                0.70167,                 1.0353,                0.69124,                0.42899,                0.49761,                0.35841,                 1.0276,                 1.1499,                 1.2219,              0.0010892,              0.0010892,              0.0010892
                     94,                 0.8035,                0.70577,                 1.0273,                0.68125,                0.43984,                 0.4999,                0.36329,                 1.0327,                 1.1216,                 1.2287,              0.0010793,              0.0010793,              0.0010793
                     95,                0.80871,                0.70276,                 1.0289,                0.65953,                0.45276,                0.50213,                0.36258,                 1.0229,                 1.1247,                 1.2188,              0.0010694,              0.0010694,              0.0010694
                     96,                0.81425,                0.71674,                 1.0379,                0.68514,                 0.4428,                0.49805,                 0.3635,                 1.0358,                 1.1354,                 1.2263,              0.0010595,              0.0010595,              0.0010595
